Accession	Gene_Family	Sp	mentioned_miRNA	Pollutant	Observed_Specie	Type	Observerd_effect	Reference	Reference_Rank_score
NA	NA	bbe-	miR-104	Benzo(a)pyrene	Branchiostoma belcheri	in vivo (whole body)	DOWN in whole body arrays after exposure	Zhang Q-L, Dong Z-X, Xiong Y, Li H-W, Guo J, Wang F, et al. Genome-wide transcriptional response of microRNAs to the benzo(a)pyrene stress in amphioxus Branchiostoma belcheri. Chemosphere [Internet]. Elsevier BV; 2019 Mar;218:205–10. Available from: http://dx.doi.org/10.1016/j.chemosphere.2018.11.119	0
MIMAT0004856	mir-105	mmu-	miR-105	Ketones	Mus musculus	Developmental biology (brain)	up regulated in brain tissue from embryos of exposed mice	Wnuk A, Rzemieniec J, Staroń J, Litwa E, Lasoń W, Bojarski A, et al. Prenatal Exposure to Benzophenone-3 Impairs Autophagy, Disrupts RXRs/PPARγ Signaling, and Alters Epigenetic and Post-Translational Statuses in Brain Neurons. Molecular Neurobiology [Internet]. Springer Science and Business Media LLC; 2018 Nov 6;56(7):4820–37. Available from: http://dx.doi.org/10.1007/s12035-018-1401-5	1
NA	NA	bbe-	miR-105	Benzo(a)pyrene	Branchiostoma belcheri	in vivo (whole body)	UP in whole body arrays after exposure	Zhang Q-L, Dong Z-X, Xiong Y, Li H-W, Guo J, Wang F, et al. Genome-wide transcriptional response of microRNAs to the benzo(a)pyrene stress in amphioxus Branchiostoma belcheri. Chemosphere [Internet]. Elsevier BV; 2019 Mar;218:205–10. Available from: http://dx.doi.org/10.1016/j.chemosphere.2018.11.119	0
NA	NA	hsa-	miR-106b	Sulfides	Homo sapiens	in vivo (plasma)	strongly down regulated in plasma of workers with damaged nerve fibers	GUO L, LUO C, FAN J, HOU Z, JI X, CHEN F, et al. Serum miRNA profiling identifies miR-150/30a as potential biomarker for workers with damaged nerve fibers from carbon disulfide. INDUSTRIAL HEALTH [Internet]. National Institute of Industrial Health; 2015;53(1):38–47. Available from: http://dx.doi.org/10.2486/indhealth.2014-0120	1
NA	NA	hsa-	miR-106b	Phenols	Homo sapiens	In vivo (follicular fluid)	altered in women with a high urinary concentrations of phenols and phthalate metabolites	Martinez RM, Hauser R, Liang L, Mansur A, Adir M, Dioni L, et al. Urinary concentrations of phenols and phthalate metabolites reflect extracellular vesicle microRNA expression in follicular fluid. Environment International [Internet]. Elsevier BV; 2019 Feb;123:20–8. Available from: http://dx.doi.org/10.1016/j.envint.2018.11.043	1
NA	NA	mmu-	miR-106b	Lead	Mus musculus	in vivo (B6.Cg-Mapttm1 (GFP)KltTg(MAPT)8cPdav/J) brain tissue	differentially regulated after exposure with a concentration of 1.95 ppm of wet weight.	Masoud AM, Bihaqi SW, Alansi B, et al. Altered microRNA, mRNA, and Protein Expression of Neurodegeneration-Related Biomarkers and Their Transcriptional and Epigenetic Modifiers in a Human Tau Transgenic Mouse Model in Response to Developmental Lead Exposure. J Alzheimers Dis. 2018;63(1):273-282. doi:10.3233/JAD-170824	0
MIMAT0000386	mir-17	mmu-	miR-106b-5p	Lead	Mus musculus	in vitro (HT-22) hippocampal neuronal cell line	upregulated after exposure	Xue C, Kang B, Su P, Wang D, Zhao F, Zhang J, et al. MicroRNA-106b-5p participates in lead (Pb2+)-induced cell viability inhibition by targeting XIAP in HT-22 and PC12 cells. Toxicology in Vitro [Internet]. Elsevier BV; 2020 Aug;66:104876. Available from: http://dx.doi.org/10.1016/j.tiv.2020.104876	0
MIMAT0000826	mir-103	rno-	miR-107-3p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly decreased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
MIMAT0000647	mir-103	mmu-	miR-107-3p	Ketones	Mus musculus	Developmental biology (brain)	up regulated in brain tissue from embryos of exposed mice	Wnuk A, Rzemieniec J, Staroń J, Litwa E, Lasoń W, Bojarski A, et al. Prenatal Exposure to Benzophenone-3 Impairs Autophagy, Disrupts RXRs/PPARγ Signaling, and Alters Epigenetic and Post-Translational Statuses in Brain Neurons. Molecular Neurobiology [Internet]. Springer Science and Business Media LLC; 2018 Nov 6;56(7):4820–37. Available from: http://dx.doi.org/10.1007/s12035-018-1401-5	1
NA	NA	dpu-	miR-1076	Cadmium	Daphnia pulex	in vivo (whole body)	differential regulated after exposure	Chen S, McKinney GJ, Nichols KM, Colbourne JK, Sepúlveda MS. Novel Cadmium Responsive MicroRNAs in Daphnia pulex. Environmental Science & Technology [Internet]. American Chemical Society (ACS); 2015 Nov 20;49(24):14605–13. Available from: http://dx.doi.org/10.1021/acs.est.5b03988	1
NA	NA	hsa-	miR-10a	Lead	Homo sapiens	in vivo (Placenta)	Downregulated in exposed mothers	Li, Q., Kappil, M. A., Li, A., Dassanayake, P. S., Darrah, T. H., Friedman, A. E., Friedman, M., Lambertini, L., Landrigan, P., Stodgell, C. J., Xia, Y., Nanes, J. A., Aagaard, K. M., Schadt, E. E., Murray, J. C., Clark, E. B., Dole, N., Culhane, J., Swanson, J., Varner, M., … Chen, J. (2015). Exploring the associations between microRNA expression profiles and environmental pollutants in human placenta from the National Children's Study (NCS). Epigenetics, 10(9), 793–802. https://doi.org/10.1080/15592294.2015.1066960	1,03
NA	NA	hsa-	miR-10a	Mercury	Homo sapiens	in vivo (Placenta)	Downregulated in exposed mothers	Li, Q., Kappil, M. A., Li, A., Dassanayake, P. S., Darrah, T. H., Friedman, A. E., Friedman, M., Lambertini, L., Landrigan, P., Stodgell, C. J., Xia, Y., Nanes, J. A., Aagaard, K. M., Schadt, E. E., Murray, J. C., Clark, E. B., Dole, N., Culhane, J., Swanson, J., Varner, M., … Chen, J. (2015). Exploring the associations between microRNA expression profiles and environmental pollutants in human placenta from the National Children's Study (NCS). Epigenetics, 10(9), 793–802. https://doi.org/10.1080/15592294.2015.1066960	1,03
MIMAT0000782	mir-10	rno-	miR-10a-5p	Aluminium+Fluorine	Rattus norvegicus domestica (Sprague Dawley)	in vivo (hippocampus)	Up-regulated after exposure to different concentrations in hippocampus	Ge Q-D, Xie C, Zhang H, Tan Y, Wan C-W, Wang W-J, et al. Differential Expression of miRNAs in the Hippocampi of Offspring Rats Exposed to Fluorine Combined with Aluminum during the Embryonic Stage and into Adulthood. Biological Trace Element Research [Internet]. Springer Science and Business Media LLC; 2018 Jul 22;189(2):463–77. Available from: http://dx.doi.org/10.1007/s12011-018-1445-4	1
NA	NA	hsa-	miR-10b	Benzene	Homo sapiens	in vivo (plasma)	differential regulated in chronic benzene poisoning	Bai W, Chen Y, Yang J, Niu P, Tian L, Gao A. Aberrant miRNA profiles associated with chronic benzene poisoning. Experimental and Molecular Pathology [Internet]. Elsevier BV; 2014 Jun;96(3):426–30. Available from: http://dx.doi.org/10.1016/j.yexmp.2014.04.011	1,03
MIMAT0017092	mir-10	rno-	miR-10b-3p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly decreased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
MIMAT0004556	mir-10	hsa-	miR-10b-3p	Sulfides	Homo sapiens	in vivo (plasma)	strongly down regulated in plasma of workers with damaged nerve fibers	GUO L, LUO C, FAN J, HOU Z, JI X, CHEN F, et al. Serum miRNA profiling identifies miR-150/30a as potential biomarker for workers with damaged nerve fibers from carbon disulfide. INDUSTRIAL HEALTH [Internet]. National Institute of Industrial Health; 2015;53(1):38–47. Available from: http://dx.doi.org/10.2486/indhealth.2014-0120	1
MIMAT0031574	mir-10	bbe-	miR-10b-5p	Benzo(a)pyrene	Branchiostoma belcheri	in vivo (whole body)	UP in whole body arrays after exposure	Zhang Q-L, Dong Z-X, Xiong Y, Li H-W, Guo J, Wang F, et al. Genome-wide transcriptional response of microRNAs to the benzo(a)pyrene stress in amphioxus Branchiostoma belcheri. Chemosphere [Internet]. Elsevier BV; 2019 Mar;218:205–10. Available from: http://dx.doi.org/10.1016/j.chemosphere.2018.11.119	0
NA	NA	bbe-	miR-115	Benzo(a)pyrene	Branchiostoma belcheri	in vivo (whole body)	DOWN in whole body arrays after exposure	Zhang Q-L, Dong Z-X, Xiong Y, Li H-W, Guo J, Wang F, et al. Genome-wide transcriptional response of microRNAs to the benzo(a)pyrene stress in amphioxus Branchiostoma belcheri. Chemosphere [Internet]. Elsevier BV; 2019 Mar;218:205–10. Available from: http://dx.doi.org/10.1016/j.chemosphere.2018.11.119	0
NA	NA	bbe-	miR-118	Benzo(a)pyrene	Branchiostoma belcheri	in vivo (whole body)	DOWN in whole body arrays after exposure	Zhang Q-L, Dong Z-X, Xiong Y, Li H-W, Guo J, Wang F, et al. Genome-wide transcriptional response of microRNAs to the benzo(a)pyrene stress in amphioxus Branchiostoma belcheri. Chemosphere [Internet]. Elsevier BV; 2019 Mar;218:205–10. Available from: http://dx.doi.org/10.1016/j.chemosphere.2018.11.119	0
MIMAT0022838	mir-154	hsa-	miR-1185-1-3p	Toluene	Homo sapiens	In vitro (HL-60 cells) human leukemia	 	Lim J, Song M-K, Cho Y, Kim W, Han SO, Ryu J-C. Comparative analysis of microRNA and mRNA expression profiles in cells and exosomes under toluene exposure. Toxicology in Vitro [Internet]. Elsevier BV; 2017 Jun;41:92–101. Available from: http://dx.doi.org/10.1016/j.tiv.2017.02.020	1,11
MIMAT0005837	NA	mmu-	miR-1187	Benzene and Toluene	Mus musculus	in vivo (lung)	bioinformatic analysis suggested their association with regulation of different biological processes as chemochine signaling, Wnt signalling, neuroactive ligand-receptor interaction, cancer and cell adhesion	Wang F, Li C, Liu W, Jin Y. Modulation of microRNA expression by volatile organic compounds in mouse lung. Environmental Toxicology [Internet]. Wiley; 2012 Jul 30;29(6):679–89. Available from: http://dx.doi.org/10.1002/tox.21795	1
NA	NA	bbe-	miR-119	Benzo(a)pyrene	Branchiostoma belcheri	in vivo (whole body)	DOWN in whole body arrays after exposure	Zhang Q-L, Dong Z-X, Xiong Y, Li H-W, Guo J, Wang F, et al. Genome-wide transcriptional response of microRNAs to the benzo(a)pyrene stress in amphioxus Branchiostoma belcheri. Chemosphere [Internet]. Elsevier BV; 2019 Mar;218:205–10. Available from: http://dx.doi.org/10.1016/j.chemosphere.2018.11.119	0
MIMAT0000117	mir-12	dme-	miR-12-5p	Chromium	Drosophila melanogaster	in vivo (midgut)	up-regulated concentration-dipendent	Chandra S, Pandey A, Chowdhuri DK. MiRNA profiling provides insights on adverse effects of Cr(VI) in the midgut tissues of Drosophila melanogaster. J Hazard Mater. 2015;283:558-567. doi:10.1016/j.jhazmat.2014.09.054	1
NA	NA	bbe-	miR-120	Benzo(a)pyrene	Branchiostoma belcheri	in vivo (whole body)	UP in whole body arrays after exposure	Zhang Q-L, Dong Z-X, Xiong Y, Li H-W, Guo J, Wang F, et al. Genome-wide transcriptional response of microRNAs to the benzo(a)pyrene stress in amphioxus Branchiostoma belcheri. Chemosphere [Internet]. Elsevier BV; 2019 Mar;218:205–10. Available from: http://dx.doi.org/10.1016/j.chemosphere.2018.11.119	0
NA	NA	mmu-	miR-122	Benzo(a)pyrene	Mus musculus	in vivo (lung)	Downregulated. Oral gavage produce a strong miRNA response in lungs rather than in liver.  Expression may be correlated to those of certain lymphomas.	Halappanavar S, Wu D, Williams A, Kuo B, Godschalk RW, Van Schooten FJ, et al. Pulmonary gene and microRNA expression changes in mice exposed to benzo(a)pyrene by oral gavage. Toxicology [Internet]. Elsevier BV; 2011 Jul;285(3):133–41. Available from: http://dx.doi.org/10.1016/j.tox.2011.04.011	1,05
NA	NA	ssa-	miR-122	Aluminium	Salmo salar	in vivo (muscle tissue)	down-regulated miRNA in muscle tissue of exposed animals	Kure EH, Sæbø M, Stangeland AM, Hamfjord J, Hytterød S, Heggenes J, et al. Molecular responses to toxicological stressors: Profiling microRNAs in wild Atlantic salmon (Salmo salar) exposed to acidic aluminum-rich water. Aquatic Toxicology [Internet]. Elsevier BV; 2013 Aug;138-139:98–104. Available from: http://dx.doi.org/10.1016/j.aquatox.2013.04.004	1,02
MIMAT0001818	mir-122	dre-	miR-122	Lead	Danio rerio	in vitro (ZF4 cells) embryo tissue	concentration dependent differentially regulated after 48 hours of exposure	Liu G, Tian J, Yin H, Yin J, Tang Y. Self‐protective transcriptional alterations in ZF4 cells exposed to Pb(NO3)2 and AgNO3. Journal of Biochemical and Molecular Toxicology [Internet]. Wiley; 2019 Oct 16;33(12). Available from: http://dx.doi.org/10.1002/jbt.22408	0
MIMAT0001818	mir-122	dre-	miR-122	Silver	Danio rerio	in vitro (ZF4 cells) embryo tissue	concentration dependent differentially regulated after 48 hours of exposure	Liu G, Tian J, Yin H, Yin J, Tang Y. Self‐protective transcriptional alterations in ZF4 cells exposed to Pb(NO3)2 and AgNO3. Journal of Biochemical and Molecular Toxicology [Internet]. Wiley; 2019 Oct 16;33(12). Available from: http://dx.doi.org/10.1002/jbt.22408	0
NA	NA	ccr-	miR-122-3p	Cadmium	Cyprinus carpio	in vivo (spleen)	down-regulated after exposure	Chen J, Zhang S, Tong J, Teng X, Zhang Z, Li S, et al. Whole transcriptome-based miRNA-mRNA network analysis revealed the mechanism of inflammation-immunosuppressive damage caused by cadmium in common carp spleens. Science of The Total Environment [Internet]. Elsevier BV; 2020 May;717:137081. Available from: http://dx.doi.org/10.1016/j.scitotenv.2020.137081	1
MIMAT0000421	mir-122	hsa-	miR-122-5p	Mercury	Homo sapiens	in vivo (plasma)	upregulated in exposed workers on plasma microarrays	Ding E, Zhao Q, Bai Y, Xu M, Pan L, Liu Q, et al. Plasma microRNAs expression profile in female workers occupationally exposed to mercury. Journal of Thoracic Disease [Internet]. AME Publishing Company; 2016 May;8(5):833–41. Available from: http://dx.doi.org/10.21037/jtd.2016.03.36	1
MIMAT0000421	mir-122	hsa-	miR-122-5p	Benzene	Homo sapiens	in vivo (plasma)	Heme oxygenase-1 regulation	Liu Y, Chen X, Bian Q, Shi Y, Liu Q, Ding L, et al. Analysis of plasma microRNA expression profiles in a Chinese population occupationally exposed to benzene and in a population with chronic benzene poisoning. Journal of Thoracic Disease [Internet]. AME Publishing Company; 2016 Mar;8(3):403–14. Available from: http://dx.doi.org/10.21037/jtd.2016.02.56	1
MIMAT0000421	mir-122	hsa-	miR-122-5p	Cadmium	Homo sapiens	in vivo (serum)	upregulated in exposed workers	Yuan W, Liu L, Liang L, Huang K, Deng Y, Dong M, et al. MiR-122-5p and miR-326-3p: Potential novel biomarkers for early detection of cadmium exposure. Gene [Internet]. Elsevier BV; 2020 Jan;724:144156. Available from: http://dx.doi.org/10.1016/j.gene.2019.144156	1
MIMAT0000827	mir-122	rno-	miR-122-5p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (serum)	significatively upregulated after exposure	Yuan W, Liu L, Liang L, Huang K, Deng Y, Dong M, et al. MiR-122-5p and miR-326-3p: Potential novel biomarkers for early detection of cadmium exposure. Gene [Internet]. Elsevier BV; 2020 Jan;724:144156. Available from: http://dx.doi.org/10.1016/j.gene.2019.144156	1
MIMAT0000827	mir-122	rno-	miR-122-5p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (urine)	significatively upregulated after exposure	Yuan W, Liu L, Liang L, Huang K, Deng Y, Dong M, et al. MiR-122-5p and miR-326-3p: Potential novel biomarkers for early detection of cadmium exposure. Gene [Internet]. Elsevier BV; 2020 Jan;724:144156. Available from: http://dx.doi.org/10.1016/j.gene.2019.144156	1
NA	NA	mmu-	miR-124	Lead	Mus musculus	in vivo (B6.Cg-Mapttm1 (GFP)KltTg(MAPT)8cPdav/J) brain tissue	differentially regulated after exposure with a concentration of 1.95 ppm of wet weight.	Masoud AM, Bihaqi SW, Alansi B, et al. Altered microRNA, mRNA, and Protein Expression of Neurodegeneration-Related Biomarkers and Their Transcriptional and Epigenetic Modifiers in a Human Tau Transgenic Mouse Model in Response to Developmental Lead Exposure. J Alzheimers Dis. 2018;63(1):273-282. doi:10.3233/JAD-170824	0
NA	NA	 	miR-124-3p	Cadmium	Sinopotamon henanense	in vivo (hepatopancreas)	significantly down-regulated	Xu P, Guo H, Wang H, Xie Y, Lee SC, Liu M, et al. Identification and profiling of microRNAs responsive to cadmium toxicity in hepatopancreas of the freshwater crab Sinopotamon henanense. Hereditas [Internet]. Springer Science and Business Media LLC; 2019 Nov 4;156(1). Available from: http://dx.doi.org/10.1186/s41065-019-0110-z	0
MIMAT0031578	mir-124	bbe-	miR-124-3p	Benzo(a)pyrene	Branchiostoma belcheri	in vivo (whole body)	DOWN in whole body arrays after exposure	Zhang Q-L, Dong Z-X, Xiong Y, Li H-W, Guo J, Wang F, et al. Genome-wide transcriptional response of microRNAs to the benzo(a)pyrene stress in amphioxus Branchiostoma belcheri. Chemosphere [Internet]. Elsevier BV; 2019 Mar;218:205–10. Available from: http://dx.doi.org/10.1016/j.chemosphere.2018.11.119	0
NA	NA	hsa-	miR-124a	Benzo(a)pyrene	Homo sapiens	in vitro (liver) HepaRG	time-dosis dependent differential reulation after exposure	Marrone AK, Tryndyak V, Beland FA, Pogribny IP. MicroRNA Responses to the Genotoxic Carcinogens Aflatoxin B1and Benzo[a]pyrene in Human HepaRG Cells. Toxicological Sciences [Internet]. Oxford University Press (OUP); 2015 Nov 24;149(2):496–502. Available from: http://dx.doi.org/10.1093/toxsci/kfv253	1,04
NA	NA	bbe-	miR-125	Benzo(a)pyrene	Branchiostoma belcheri	in vivo (whole body)	DOWN in whole body arrays after exposure	Zhang Q-L, Dong Z-X, Xiong Y, Li H-W, Guo J, Wang F, et al. Genome-wide transcriptional response of microRNAs to the benzo(a)pyrene stress in amphioxus Branchiostoma belcheri. Chemosphere [Internet]. Elsevier BV; 2019 Mar;218:205–10. Available from: http://dx.doi.org/10.1016/j.chemosphere.2018.11.119	0
NA	NA	mmu-	miR-125-5p	Benzo(a)pyrene	Mus musculus	in vivo (lung)	Upregulated. Oral gavage produce a strong miRNA response in lungs rather than in liver.  Expression may be correlated to those of certain lymphomas.	Halappanavar S, Wu D, Williams A, Kuo B, Godschalk RW, Van Schooten FJ, et al. Pulmonary gene and microRNA expression changes in mice exposed to benzo(a)pyrene by oral gavage. Toxicology [Internet]. Elsevier BV; 2011 Jul;285(3):133–41. Available from: http://dx.doi.org/10.1016/j.tox.2011.04.011	1,05
